DRG Definition, Total Discharges , Average Covered Charges , Average Total Payments 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,33606,28522.4,6843.39
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,30212,24792.94,6963.11
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,62093,50511.49,13773.07
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,106414,30776.08,8052.35
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,55849,23864.61,5787.12
069 - TRANSIENT ISCHEMIA,79590,21830.05,5074.53
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,21659,25325.33,6501.27
101 - SEIZURES W/O MCC,48854,22428.11,5798.66
149 - DYSEQUILIBRIUM,23427,18903.61,4665.64
176 - PULMONARY EMBOLISM W/O MCC,32042,26417.07,7361.86
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,66660,51383.27,13857.55
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,56100,36088.8,9961.06
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,95099,31953.15,8965.91
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,149677,30161.78,8121.58
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,148491,24320.15,6631.16
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,114790,18120.85,4936.96
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,127989,37685.29,9990.63
194 - SIMPLE PNEUMONIA & PLEURISY W CC,198390,25348.92,6964.18
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,79873,18077.54,4830.27
202 - BRONCHITIS & ASTHMA W CC/MCC,32086,23776.08,6082.14
203 - BRONCHITIS & ASTHMA W/O CC/MCC,16577,17131.74,4455.95
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,26412,143768.97,39075.22
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,68080,62710.2,16407.99
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,34669,83737.08,22312.43
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,29646,67968.69,18181.94
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,27951,53134.34,13990.3
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,27104,93363.32,23336.48
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,108272,61985.03,14292.07
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,32647,55978.32,12524.49
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,28583,65054.38,13877.65
252 - OTHER VASCULAR PROCEDURES W MCC,34222,84391.35,23389.61
253 - OTHER VASCULAR PROCEDURES W CC,36434,68656.57,17657.08
254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,26385,46399.26,11668.78
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",63934,46373.31,12661.11
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",40836,30496.93,8118.28
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",21596,23000.16,5539.06
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",21820,61115.13,15560.63
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",115920,34000.48,7720.62
291 - HEART FAILURE & SHOCK W MCC,185599,38219.62,10408.79
292 - HEART FAILURE & SHOCK W CC,222038,25113.91,7098.42
293 - HEART FAILURE & SHOCK W/O CC/MCC,89217,17383.21,4739.83
300 - PERIPHERAL VASCULAR DISORDERS W CC,38458,24634.84,6928.88
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,16744,17278.23,4656.01
303 - ATHEROSCLEROSIS W/O MCC,30184,16473.46,4152.48
305 - HYPERTENSION W/O MCC,25205,17734.8,4485.6
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,61060,31974.71,8750.68
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,102484,21461.88,5849.76
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,113454,15086.52,3958.73
312 - SYNCOPE & COLLAPSE,141918,20541.31,5156.21
313 - CHEST PAIN,131079,16927.67,4014.83
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,51079,49438.29,13909.48
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,17478,26715.91,7337.41
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,37250,135584.77,38262.29
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,50766,65481.84,18239.71
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,28509,30768.29,8908.06
377 - G.I. HEMORRHAGE W MCC,48398,46459.45,12730.23
378 - G.I. HEMORRHAGE W CC,138678,26058.99,7084.02
379 - G.I. HEMORRHAGE W/O CC/MCC,33393,18974.57,5030.73
389 - G.I. OBSTRUCTION W CC,46860,24673.25,6508.34
390 - G.I. OBSTRUCTION W/O CC/MCC,31249,17488.9,4496.17
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",43026,32610.74,8635.41
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",244854,20321.55,5097.08
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,41346,26978.34,7245.43
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,18227,48091.44,11518.1
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,16157,34635.74,8062.48
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,17948,27012.17,7424.07
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,65997,92884.27,27347.61
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,18714,79518.01,22350.12
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,427207,50105.26,14324.48
473 - CERVICAL SPINAL FUSION W/O CC/MCC,23834,52934.93,14400.06
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,17851,74927.73,20972.5
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,77525,48304.42,12588.74
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,20739,39806.11,10398.82
491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,34579,29233.29,7102.82
536 - FRACTURES OF HIP & PELVIS W/O MCC,22728,17837.79,4821.38
552 - MEDICAL BACK PROBLEMS W/O MCC,63116,22808.39,5841.4
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",20278,19464.27,5171.74
602 - CELLULITIS W MCC,17714,37974.4,10525.13
603 - CELLULITIS W/O MCC,140894,20272.38,5887.52
638 - DIABETES W CC,48025,21892.23,6069.98
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",56816,28861.66,8363.5
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",153660,17836.17,4878.89
682 - RENAL FAILURE W MCC,101029,40258.71,11683.25
683 - RENAL FAILURE W CC,150444,25354.29,7108.63
684 - RENAL FAILURE W/O CC/MCC,19540,16954.12,4664.46
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,66583,29464.19,8223.72
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,206695,19865.56,5409.83
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,22085,42212.75,12369.46
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,23755,28173.05,8063.14
811 - RED BLOOD CELL DISORDERS W MCC,24148,34376.15,9442.85
812 - RED BLOOD CELL DISORDERS W/O MCC,92851,20855.35,5738.29
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,39482,141995.09,41267.56
870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,22624,163325.92,45800.3
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,319072,49418.6,13650.96
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,112430,28323.1,7968.84
885 - PSYCHOSES,89733,18761.07,7180.2
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,31935,14383.2,5067.19
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,16952,39321.72,10835.57
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,29225,17280.81,4577.62
948 - SIGNS & SYMPTOMS W/O MCC,50411,18739.87,4946.97
